text,clean_text
@CDCgov What about natural immunity? Vitamins? Diet? Instead of injection based solutions?,what about natural immunity vitamins diet instead of injection based solutions
@CDCgov Hope you got Drakes permission.  If not I hope Drake sues you!,hope you got drakes permission if not i hope drake sues you
@CDCgov Its called a flu shot . not a vaccine.,its called a flu shot not a vaccine
@CDCgov The kid twittering for the higher ups is listening well and wants to keep his job. Good boy,the kid twittering for the higher ups is listening well and wants to keep his job good boy
@CDCgov Fuck you CDC!!!! 🤡🤡🤡🤡,fuck you cdc
@CDCgov Except I get the flu shot every year and still get the flu every year I'm currently sick right now with influenza A,except i get the flu shot every year and still get the flu every year im currently sick right now with influenza a
@CDCgov You should not try to meme when you do not know how.,you should not try to meme when you do not know how
@CDCgov Yeah right try again demons,yeah right try again demons
"@CDCgov If these jabs were so great, you wouldn’t need to push them on us 🤷‍♀️",if these jabs were so great you wouldnt need to push them on us
@CDCgov You’re a maniacal Joke.,youre a maniacal joke
"@CDCgov My mom got a flu shot every year,  for at least 30-35 years before she passed away. 
And every year,  she became very ill. 
So excuse me if I pass on that 💉💉 too.",my mom got a flu shot every year for at least years before she passed away and every year she became very ill so excuse me if i pass on that too
@CDCgov I’m not getting either anymore.,im not getting either anymore
"@CDCgov Never had them never will. 

Trusting the CDC hasn’t been a good move the last couple of years.",never had them never will trusting the cdc hasnt been a good move the last couple of years
"@CDCgov Santa, my only wish is that the @CDCgov never memes again.",santa my only wish is that the never memes again
"@CDCgov And for everyone with a working brain who isn’t falling for this propaganda, head to my Shopify store and get your shirt now before they sell out! https://t.co/40ARZNW26X https://t.co/9HZHRDE3S9",and for everyone with a working brain who isnt falling for this propaganda head to my shopify store and get your shirt now before they sell out
"@CDCgov The flu shot isn't a vaccine, please try again.",the flu shot isnt a vaccine please try again
@CDCgov None of your poison shots for me. You blew all of your credibilty with  that Covid vacksine. Thanks anyway.,none of your poison shots for me you blew all of your credibilty with that covid vacksine thanks anyway
@CDCgov The left can't meme.,the left cant meme
"@CDCgov Some intern at the CDC: ""We can build trust with strong memes!""

Me: The mouthpiece of the biomedical security state has some weak ass memes...",some intern at the cdc we can build trust with strong memes me the mouthpiece of the biomedical security state has some weak ass memes
@CDCgov Vaccine is not as important as taking yearly STD Test,vaccine is not as important as taking yearly std test
"@CDCgov If you are going to meme, do it right…",if you are going to meme do it right
"@CDCgov This a parody account, isn’t?",this a parody account isnt
@CDCgov Nobody trusts you. Give it up.,nobody trusts you give it up
@CDCgov @ixJmo @KalesWorld gotta cater to the genZ,gotta cater to the genz
@CDCgov how about the law suits coming for you currupt a**holes  for your mismanagement and misinformation in the vaccines for the past 3 years.,how about the law suits coming for you currupt aholes for your mismanagement and misinformation in the vaccines for the past years
@CDCgov Not true,not true
@CDCgov Yeah NOOOO!,yeah noooo
@CDCgov Clowns,clowns
"@CDCgov Hell, even my pro-vaccine mom is scared of MRNA.... She got Novavax and so far no covid...",hell even my provaccine mom is scared of mrna she got novavax and so far no covid
@CDCgov Stop..  you can’t meme,stop you cant meme
@CDCgov Did Drake make a check out of this ad lol,did drake make a check out of this ad lol
@CDCgov Y’all are pathetic,yall are pathetic
@CDCgov I've been sick and puking and everything else but could have been worse without the flu shot I'm sure. So yes get the flu shot and your covid booster.,ive been sick and puking and everything else but could have been worse without the flu shot im sure so yes get the flu shot and your covid booster
@CDCgov What do you recommend for people with ligma?,what do you recommend for people with ligma
"@CDCgov I don’t subscribe to any of your bullshit propaganda, don’t take any of your bullshit poisons, don’t take any injections, and I don’t get sick, EVER… yet everybody I know that takes your bullshit vaccines gets sick, have health problems, and or dies from complications 🤔🤔🤔🤔🤔",i dont subscribe to any of your bullshit propaganda dont take any of your bullshit poisons dont take any injections and i dont get sick ever yet everybody i know that takes your bullshit vaccines gets sick have health problems and or dies from complications
@CDCgov Fuck off,fuck off
@CDCgov Blow a goat.,blow a goat
@CDCgov Vaccine is not doing well. Don't get the vaccine. It's for your own good.,vaccine is not doing well dont get the vaccine its for your own good
@CDCgov Never have I ever gotten the flu vaccine and definitely would not get it now.,never have i ever gotten the flu vaccine and definitely would not get it now
@CDCgov I just dropped dead from it and woke up almost 4 days later. And I  mean dead.,i just dropped dead from it and woke up almost days later and i mean dead
@CDCgov 100% cringe.,cringe
@CDCgov You lost my trust and the trust of millions of Americans when you lied about the COVID jabs that are neither safe nor effective. Never again. You are liars.,you lost my trust and the trust of millions of americans when you lied about the covid jabs that are neither safe nor effective never again you are liars
@CDCgov In the years 2020 2021 the flu number were way down and almost nonexistent.  I believe your management of resources have created more flu problems this year.,in the years the flu number were way down and almost nonexistent i believe your management of resources have created more flu problems this year
@CDCgov Stop memeing. Just stop.,stop memeing just stop
@CDCgov CDC meme-lord,cdc memelord
"@CDCgov Terrible Meme. Yes, the flu can be bad &amp; so can the shot...which U don't bother to mention. People get the flu shot &amp; still catch the flu. Another vac I think doesn't work. At the least give people honest data about flu shot,not the PharmaData,so they can make informed decision.",terrible meme yes the flu can be bad amp so can the shotwhich u dont bother to mention people get the flu shot amp still catch the flu another vac i think doesnt work at the least give people honest data about flu shotnot the pharmadataso they can make informed decision
"@CDCgov Sugar is also good,",sugar is also good
"@CDCgov So are Paying Drake , or is he going to make a song about it for manipulation",so are paying drake or is he going to make a song about it for manipulation
@CDCgov All Lies. CDC needs to eliminated.  That's the first thing to go. Nothing but a propaganda machine.,all lies cdc needs to eliminated thats the first thing to go nothing but a propaganda machine
"@CDCgov If only you took this job seriously @CDCDirector…

Vaccines ONLY approach does protect lives…

…But it sure does line the pockets of your colleagues!

#BringBackMaskMandates",if only you took this job seriously vaccines only approach does protect lives but it sure does line the pockets of your colleagues bringbackmaskmandates
@CDCgov No thanks.,no thanks
@CDCgov Lol you are pathetic,lol you are pathetic
@CDCgov Posting old meme formats because you think you're relating to gen Z,posting old meme formats because you think youre relating to gen z
@CDCgov How many people have died from the vaccine? Just curious.,how many people have died from the vaccine just curious
@CDCgov No more trust in Corporate Gov’t agencies,no more trust in corporate govt agencies
"@CDCgov The Vaccine Only approach has failed. Vaccines are great but we need more to defeat #covid19: ventilated buildings, clean indoor air, free N95 respirators. Education on how #COVIDisAirborne. 

We need a leader like @joaquinlife in Congress. His plan:

https://t.co/zpMgtAVS1Y",the vaccine only approach has failed vaccines are great but we need more to defeat covid ventilated buildings clean indoor air free n respirators education on how covidisairborne we need a leader like in congress his plan
"@CDCgov How bout pure bloods, how many are there?",how bout pure bloods how many are there
@CDCgov Yet fully vaccinated American citizens have to provide a negative test prior to re-entering  the US by plane.,yet fully vaccinated american citizens have to provide a negative test prior to reentering the us by plane
"@CDCgov Don’t, it’s a crappy mispromoted product. https://t.co/p7XtJnO388",dont its a crappy mispromoted product
@CDCgov No thanks,no thanks
@CDCgov Hilarious! What a joke,hilarious what a joke
@CDCgov Maybe it’s time to scrap testing from international flights,maybe its time to scrap testing from international flights
"@CDCgov Fully vaccinated needs to include one Booster
&amp; a 2nd Booster needs to become avail everyone 
My tenant who is ""fully"" vaccinated just recovered from her 2nd case of Covid. She works in a grocery store, those doing essential work need Boosters &amp; should B encouraged 2 #WearAMask",fully vaccinated needs to include one booster amp a nd booster needs to become avail everyone my tenant who is fully vaccinated just recovered from her nd case of covid she works in a grocery store those doing essential work need boosters amp should b encouraged wearamask
@CDCgov How ppl got the shot and still went to hospital with covid ? Im guessing you wont show that data ...,how ppl got the shot and still went to hospital with covid im guessing you wont show that data
@CDCgov Wow! 258.8 million vaccines! So how much profit has Pfizer made to date?,wow million vaccines so how much profit has pfizer made to date
"@CDCgov There's been over 750k deaths in the US alone. From
The
Vaccine",theres been over k deaths in the us alone from the vaccine
"@CDCgov Too bad it doesn't immunize. I guess cuz it's not a vaccine. Oh wait, CDC changed definition of ""vaccine"" to incorporate it. So clever! (they think)",too bad it doesnt immunize i guess cuz its not a vaccine oh wait cdc changed definition of vaccine to incorporate it so clever they think
"@CDCgov I consider fully vaccinated as 2 shots and 2 boosters, having the most you can get at this time. It's worked for us!",i consider fully vaccinated as shots and boosters having the most you can get at this time its worked for us
@CDCgov Notice how our ancestors lived longer than we do? They didn't have the cdc and the who killing them,notice how our ancestors lived longer than we do they didnt have the cdc and the who killing them
@CDCgov I'm fully from the lats super flu  I doint have get nomore flu shots,im fully from the lats super flu i doint have get nomore flu shots
@CDCgov And yet no one is protected … lol,and yet no one is protected lol
@CDCgov Don’t let this distract you,dont let this distract you
@CDCgov THIS HONESTLY DOESN'T MATTER!! I'M FULLY VAXED AND BOOSTED AND YET HERE I AM RIGHT NOW WITH FREAKIN COVID!! #BS,this honestly doesnt matter im fully vaxed and boosted and yet here i am right now with freakin covid bs
@CDCgov We still can’t #ImmunizeUnder5s and then there is #LongCovid. Bring back #maskmandates!,we still cant immunizeunders and then there is longcovid bring back maskmandates
@CDCgov Get bent🖕,get bent
"@CDCgov Thanks, I am very morbed now.",thanks i am very morbed now
"@CDCgov fully vaccinated...2 orig shots, 2 boosters...YES !",fully vaccinated orig shots boostersyes
@CDCgov When can people under 50 get their 2nd booster?,when can people under get their nd booster
@CDCgov Where can I find locations for therapeutics? Oh wait . . .,where can i find locations for therapeutics oh wait
"@CDCgov When will the @CDCgov address the sudden and large events of young, healthy athletes and children dropping dead on fields and developing myocarditis?",when will the address the sudden and large events of young healthy athletes and children dropping dead on fields and developing myocarditis
@CDCgov Cum fornite play,cum fornite play
@CDCgov Rely on your immune system!,rely on your immune system
@CDCgov Lies lies and more lies.,lies lies and more lies
@CDCgov How about posting some numbers on what covid is currently doing in michigan,how about posting some numbers on what covid is currently doing in michigan
@CDCgov @CDCemergency I love covid and monkey pox !! Let’s go!!,i love covid and monkey pox lets go
"@CDCgov You consider the 15M #JandJ recipients of those 221.5M ""fully vaccinated"" for your statistics, despite knowing this is not *actually* the case don't you? AND you continue to ignore their ^NOT protected status^.. don't you?",you consider the m jandj recipients of those m fully vaccinated for your statistics despite knowing this is not actually the case dont you and you continue to ignore their not protected status dont you
@CDCgov Problem you have if these were done over 8 monthd ago and thry have no boosters..they have zero in there system as vaccine is good for 8 months as oer science and Pfozer Moderna,problem you have if these were done over monthd ago and thry have no boostersthey have zero in there system as vaccine is good for months as oer science and pfozer moderna
"@CDCgov The roughly 1/3 of adults who are NOT fully vaccinated are selfish cowards who are depending on the rest of US population to develop enough ""herd immunity"" to keep them safe.

They should all be collected into some large metropolitan area where they can only infect each other! https://t.co/Ioci46labW",the roughly of adults who are not fully vaccinated are selfish cowards who are depending on the rest of us population to develop enough herd immunity to keep them safe they should all be collected into some large metropolitan area where they can only infect each other
@CDCgov Sheep!,sheep
"@CDCgov .... and you've switched to reporting numbers weekly instead of daily, going into a surge with double the rates.",and youve switched to reporting numbers weekly instead of daily going into a surge with double the rates
"@CDCgov CDC=ROTTEN, SICK, CORRUPRT INDIVIDUALS!",cdcrotten sick corruprt individuals
"@CDCgov Yes, and I was bullied into it, but never again",yes and i was bullied into it but never again
@CDCgov FUlly vaccinated people..well so far That's how many people are going to die,fully vaccinated peoplewell so far thats how many people are going to die
"@CDCgov No availability of booster dose in bardoli,gujarat. I have not taken .thanks",no availability of booster dose in bardoligujarat i have not taken thanks
@CDCgov Only idiot can go for vaccine,only idiot can go for vaccine
"@CDCgov LIES , YOU WILL FAIL",lies you will fail
"@CDCgov Be aware, My daughter was diagnosed with Covid a week ago, we went to visit her, I left my wallet in the Enterprise rent-a-car. It was not fully cleaned but was sent out the same day. Be safe, these companies don't care about your family....😭",be aware my daughter was diagnosed with covid a week ago we went to visit her i left my wallet in the enterprise rentacar it was not fully cleaned but was sent out the same day be safe these companies dont care about your family
@CDCgov if you dont have AT LEAST one booster (or didnt get your shots within the last -6 months) YOU ARE NOT FULLY VACCINATED,if you dont have at least one booster or didnt get your shots within the last months you are not fully vaccinated
@CDCgov Nice try.,nice try
@CDCgov Its NOT a Vaccine is EAU big difference. It was never tested oh yes it was on the people but NEVER TESTED in a Lab.,its not a vaccine is eau big difference it was never tested oh yes it was on the people but never tested in a lab
@CDCgov Lots of naive ppl out there.  And you lie all the time...so nobody believes your stats.  No intelligent ppl I've ever met has had even one dose.,lots of naive ppl out there and you lie all the timeso nobody believes your stats no intelligent ppl ive ever met has had even one dose
"@CDCgov I don't go w/ the ""herd""--has served me well.  Nobody even believes your stats.",i dont go w the herdhas served me well nobody even believes your stats
@CDCgov Clearly people are no longer buying what you're selling. The US has just destroyed 82 million doses of the vaccine. Why? Because nobody wants it. Those who wanted it already got it. Get it through your thick skull's. #idots,clearly people are no longer buying what youre selling the us has just destroyed million doses of the vaccine why because nobody wants it those who wanted it already got it get it through your thick skulls idots
@CDCgov Why are you leaving out the adverse events....wonder why so many didn't return for full vaccination and over 50% never came back for a booster...,why are you leaving out the adverse eventswonder why so many didnt return for full vaccination and over never came back for a booster
@CDCgov Thanks for making us the laughingstock of the world. While everyone else has dropped their Covid protocols you continue on with antiquated non-scientific protocols. Namely testing to return from international travel. You're  kind of special aren't you😏,thanks for making us the laughingstock of the world while everyone else has dropped their covid protocols you continue on with antiquated nonscientific protocols namely testing to return from international travel youre kind of special arent you
@CDCgov Lies and embarrassment.,lies and embarrassment
@CDCgov 221 million people got covid right after thier vaccines 😅🤣😂,million people got covid right after thier vaccines
@CDCgov Any connection to 'Sudden adult death syndrome' that's currently trending? Asking for a friend,any connection to sudden adult death syndrome thats currently trending asking for a friend
@CDCgov Please post the Vaers data. The vaccine is deadly.,please post the vaers data the vaccine is deadly
@CDCgov Stop this vaccine madness.  big pharma,stop this vaccine madness big pharma
@CDCgov Fully vaccinated seem to catch Covid more than those who are not vaccinated. Just stay in your safe place while us normal folks live on. https://t.co/MbXFqgMHKX,fully vaccinated seem to catch covid more than those who are not vaccinated just stay in your safe place while us normal folks live on
@CDCgov @CDCemergency Stop with the poison! And giving people a virus so the numbers can climb up again! And stop the BS about masks that don’t work!!!! Not gonna comply!,stop with the poison and giving people a virus so the numbers can climb up again and stop the bs about masks that dont work not gonna comply
@CDCgov @FUTURENEWS2020 So I had Covid OG. Then later Got vaxed and then got omicron.  I think I’m good with the “boosters”,so i had covid og then later got vaxed and then got omicron i think im good with the boosters
"@CDCgov Don’t be stupid, wear a mask!",dont be stupid wear a mask
@CDCgov The new strain is nothing.  Most people barely know they have it.  Just trying to scare people again.  I got vaccinated last year but will never ever do it again.,the new strain is nothing most people barely know they have it just trying to scare people again i got vaccinated last year but will never ever do it again
"@CDCgov My kids don’t need it, we just had COVID, just fevers and it passed. 👍🇺🇸 #NoVaccine",my kids dont need it we just had covid just fevers and it passed novaccine
"@CDCgov Be honest of those 258.8 million who got covid anyway or something worse, and died? https://t.co/D91TYhq63e",be honest of those million who got covid anyway or something worse and died
"@CDCgov Hmm..., 1s time around it was 2 shots now we are up to a 4th booster. If it didn't work the 1st time, or the 3 boosters, doesn't that tell you something? You are not stopping a respiratory virus anymore than you're stopping the flu. You are some kind of special aren't you #idiots",hmm s time around it was shots now we are up to a th booster if it didnt work the st time or the boosters doesnt that tell you something you are not stopping a respiratory virus anymore than youre stopping the flu you are some kind of special arent you idiots
@CDCgov you should be panic. you lose war against freedom.,you should be panic you lose war against freedom
@CDCgov your stupoiud and ugly and eat your moms asshole,your stupoiud and ugly and eat your moms asshole
@CDCgov China hide the truth and spread the virus since 2019,china hide the truth and spread the virus since
"@CDCgov Noone wants that toxin, the defence is already in us through exposure. Stop trying to kill off population. We are not falling for your **** anymore..",noone wants that toxin the defence is already in us through exposure stop trying to kill off population we are not falling for your anymore
@CDCgov The death drug,the death drug
@CDCgov What are you going to do about the ZERO liability for hospitals if you catch #COVID19 because they switch out your N95 for a Chinese #PennyMask and refuse to sanitize the air? I now have Asthma and heart damage. YOUR FAILURE to promote the basics of aerolized disease transmission,what are you going to do about the zero liability for hospitals if you catch covid because they switch out your n for a chinese pennymask and refuse to sanitize the air i now have asthma and heart damage your failure to promote the basics of aerolized disease transmission
@CDCgov 85 million cases of COVID. What's the overlap with fully vaccinated? The pandemic is over? Herd immunity?,million cases of covid whats the overlap with fully vaccinated the pandemic is over herd immunity
"@CDCgov For the first time, Stan Thomas shares the story of how his wife, Monica Melkonian, died from vaccine-induced immune thrombotic thrombocytopenia, a rare side effect
https://t.co/dBN1xbWonH",for the first time stan thomas shares the story of how his wife monica melkonian died from vaccineinduced immune thrombotic thrombocytopenia a rare side effect
@CDCgov You mean over 103.9 million people are fully vaccinated?,you mean over million people are fully vaccinated
@CDCgov You lost ALL credibility at this point.  How long until your covered up mess is out in the open.  What will your excuse be to the families?  Those who know can't sleep.   I bet you know.,you lost all credibility at this point how long until your covered up mess is out in the open what will your excuse be to the families those who know cant sleep i bet you know
@CDCgov And yet it doesn't work.,and yet it doesnt work
@CDCgov Bunch of https://t.co/NiUEEUElYw,bunch of
"@CDCgov CDC, the you're an unreliable source of statistical information; you're a partisan arm of the Dem party, used to influence the advanced of leftists political agendas.",cdc the youre an unreliable source of statistical information youre a partisan arm of the dem party used to influence the advanced of leftists political agendas
@CDCgov Shut up y’all don’t know what dose do what. Now y’all just making up stuff now,shut up yall dont know what dose do what now yall just making up stuff now
"@CDCgov POSSIBLE THE REASON THE NUMBERS WENT DOWN IS BECAUSE SOME NOW HAVE CANCER FROM THE VAXXES OR BOOSTERS AND THEY ARE EITHER TOO SICK TO GET THEM (AS IN A FAMILY MEMBER OF MINE) OR THEY ARE DEAD AND CANT GET THEM. PS, I DONT BELIEVE YOUR NUMBERS!! VAERS UNDER REPORTED!",possible the reason the numbers went down is because some now have cancer from the vaxxes or boosters and they are either too sick to get them as in a family member of mine or they are dead and cant get them ps i dont believe your numbers vaers under reported
@CDCgov The Covid vaccines have done a tremendous job at slowing the spread.,the covid vaccines have done a tremendous job at slowing the spread
"@CDCgov What exactly is fully vaccinated?
2 jab 3rd jab or not until it is determined  a 4th and 5th are needed? How exactly does fully vaccinated change?",what exactly is fully vaccinated jab rd jab or not until it is determined a th and th are needed how exactly does fully vaccinated change
@CDCgov Lies. Lies. Lies. But twitter aholes won't report them for misinformation.,lies lies lies but twitter aholes wont report them for misinformation
@CDCgov How many died from the vaccine?,how many died from the vaccine
"@CDCgov Americans are finally paying attention; imagine thinking we'll ever trust you again.  🤡
https://t.co/kihBG7CFhq",americans are finally paying attention imagine thinking well ever trust you again
"@CDCgov Fewer than 750 School Aged children have died with COVID19 in the USA.

That's less than 0.1% of the total C19 deaths in the USA.

It's 0.07% of the total.

Only 2% of the deaths for children this age were COVID related.

Over 30,000 school aged kids died from other causes. https://t.co/hwhkWDySQP",fewer than school aged children have died with covid in the usa thats less than of the total c deaths in the usa its of the total only of the deaths for children this age were covid related over school aged kids died from other causes
@CDCgov After the lies and the power grab I don't trust you or the government at all. All of those companies tried to legally classify crucial information regarding to side effects to the covid vaccine. The courts said no. A month later and 175k known symptoms have been released.,after the lies and the power grab i dont trust you or the government at all all of those companies tried to legally classify crucial information regarding to side effects to the covid vaccine the courts said no a month later and k known symptoms have been released
@CDCgov Liars.  Children will only be harmed by this advice.  But you don't care.  You never have.,liars children will only be harmed by this advice but you dont care you never have
@CDCgov I think we can all agree that a few thousand kids dying of myocarditis is worth it for Pfizer to make record profits,i think we can all agree that a few thousand kids dying of myocarditis is worth it for pfizer to make record profits
@CDCgov What are the total number of MIS-C cases r/t COVID in children? Thanks.,what are the total number of misc cases rt covid in children thanks
"@CDCgov Based on the CDCs current record, I’d say this statement is 84% more likely to be proven false within 6 months.  But that will be more than enough time for their buddies in Big Pharma to make oodles of cash.",based on the cdcs current record id say this statement is more likely to be proven false within months but that will be more than enough time for their buddies in big pharma to make oodles of cash
@CDCgov Shush. No one believes you anymore.,shush no one believes you anymore
"@CDCgov What percent of kids who are not vaccinated get MIS-C?

For example, if .1% of unvax'd get it, and vax'd are 84% less than .1% to get it, this is a miniscule improvement.

Also, how often does MIS-C progress to severe damage?
Any # less than 100% further lessens the risk",what percent of kids who are not vaccinated get misc for example if of unvaxd get it and vaxd are less than to get it this is a miniscule improvement also how often does misc progress to severe damage any less than further lessens the risk
@CDCgov How does vax reduce mis-c but increase the chances of myocarditis? Both can't be true.,how does vax reduce misc but increase the chances of myocarditis both cant be true
"@CDCgov Is this a double blind peer reviewed study? I didn't think so.
Also, you are correlating, not showing causation. Not at all.",is this a double blind peer reviewed study i didnt think so also you are correlating not showing causation not at all
@CDCgov I think your track record shows that your recommendations are far more dangerous than any illness.,i think your track record shows that your recommendations are far more dangerous than any illness
"@CDCgov @contrarian4data ""84% less likely"" 🤡 

They could update the book How to Lie with Statistics with a chapter only for the CDC.",less likely they could update the book how to lie with statistics with a chapter only for the cdc
@CDCgov Side effects are real ...so is the coverup.,side effects are real so is the coverup
@CDCgov Please stop peddling this poison.,please stop peddling this poison
"@CDCgov VACCINES ALONE WILL NOT GET US OUT OF THIS PANDEMIC 😡

Vaccinated people can still contract and infect others. Vaccines are seatbelts only! We still need to obey traffic laws to protect public safety! (Masks + Ventilation + testing + SCIENCE based isolation requirements)",vaccines alone will not get us out of this pandemic vaccinated people can still contract and infect others vaccines are seatbelts only we still need to obey traffic laws to protect public safety masks ventilation testing science based isolation requirements
@CDCgov It is extremely disturbing that you are handpicking studies to base your policies on. No single study is perfect and they often contradict each other (as it should be with good science) - research should not be done to appease sitting politicians,it is extremely disturbing that you are handpicking studies to base your policies on no single study is perfect and they often contradict each other as it should be with good science research should not be done to appease sitting politicians
"@CDCgov Aren’t the vaccines still trials? They aren’t proven to be effective, nor have the short or long term side effects been studied either. Why are you insisting we have our children injected with something that is still in a testing stage? Seriously, y’all are willing to risk it?",arent the vaccines still trials they arent proven to be effective nor have the short or long term side effects been studied either why are you insisting we have our children injected with something that is still in a testing stage seriously yall are willing to risk it
@CDCgov I’m confused. These vaccines aren’t even old enough to know how they will effect children throughout their lifetime. Why would it be recommended they take them when no long term studies have ever been done?,im confused these vaccines arent even old enough to know how they will effect children throughout their lifetime why would it be recommended they take them when no long term studies have ever been done
@CDCgov When will the omicron booster be available for children under five? @POTUS,when will the omicron booster be available for children under five
@CDCgov how much more likely to develop myocarditis or cancer?,how much more likely to develop myocarditis or cancer
@CDCgov Now explain how? When there has been NO testing done. Right out of Fauci's mouth no tests done.,now explain how when there has been no testing done right out of faucis mouth no tests done
@CDCgov The people are getting smarter,the people are getting smarter
"@CDCgov Please, please, stop mislead us, we don't deserve your disinformation🙏",please please stop mislead us we dont deserve your disinformation
@CDCgov OR - get NO doses and not have to risk any of the negative conditions from all these stupid shots!,or get no doses and not have to risk any of the negative conditions from all these stupid shots
@CDCgov I recommend children get 0 doses of this experimental and ineffective vaccine.,i recommend children get doses of this experimental and ineffective vaccine
"@CDCgov Please show me the data that you studied the effects on the bivalent vaxx on humans. Any age humans will do at this point. No? Only 8 mice? 

You are a quack shill for Big Pharma.",please show me the data that you studied the effects on the bivalent vaxx on humans any age humans will do at this point no only mice you are a quack shill for big pharma
"@CDCgov Yeah, like I believe that!",yeah like i believe that
"@CDCgov If they are so great, prove that every member involved and all individuals who market the vaccines and boosters have personally taken them and given them to their children and grandchildren etc. prove it!",if they are so great prove that every member involved and all individuals who market the vaccines and boosters have personally taken them and given them to their children and grandchildren etc prove it
"@CDCgov Ya right, gonna jump right on that train. NOT
🤢🤬",ya right gonna jump right on that train not
@CDCgov Tell that to my friends child who's heart is now permanently fucked up from your vaccine/booster.  Stop it!!!!!!!!!!!!!!!!!,tell that to my friends child whos heart is now permanently fucked up from your vaccinebooster stop it
@CDCgov whose study?,whose study
@CDCgov Just no!,just no
@CDCgov New study finds the truth for the scamdemic traced back to 2015 yes we know the truth,new study finds the truth for the scamdemic traced back to yes we know the truth
@CDCgov Nice bait and switch. Refer to a study of 5-18 year olds and then say infants need to be vaccinated. When did you all sell your souls and what did you receive in return?,nice bait and switch refer to a study of year olds and then say infants need to be vaccinated when did you all sell your souls and what did you receive in return
@CDCgov That should be up to the parents whether or not they get their baby are there ciao the cove it 19 or the boost,that should be up to the parents whether or not they get their baby are there ciao the cove it or the boost
"@CDCgov I don’t know how many employees the CDC has, but I’m willing to bet they have enough (and must be diverse too) for a study based on their own employees and family members. Why not study your own employees who (apparently) believe and have faith in them right?",i dont know how many employees the cdc has but im willing to bet they have enough and must be diverse too for a study based on their own employees and family members why not study your own employees who apparently believe and have faith in them right
@CDCgov Are the scientists plus executives of corporations pushing the vaccines willing to allow impartial doctors to test them to see if they have personally have taken all vaccines and boosters they push upon the public?,are the scientists plus executives of corporations pushing the vaccines willing to allow impartial doctors to test them to see if they have personally have taken all vaccines and boosters they push upon the public
@CDCgov STFU!!!,stfu
@CDCgov @K_G_Andersen England forbids the Pfizer for children under 5. Forbids. Some about the risk for a heart condition.  Are we rushing into things? Just wondering…,england forbids the pfizer for children under forbids some about the risk for a heart condition are we rushing into things just wondering
"@CDCgov My kids aren’t vaxxed for the same reason I don’t let them wear bike helmets, survival of the fitest",my kids arent vaxxed for the same reason i dont let them wear bike helmets survival of the fitest
@CDCgov @K_G_Andersen Really? Please get the facts - not from those who benefit monetarily from this product...,really please get the facts not from those who benefit monetarily from this product
@CDCgov Better research this folks- PLEASE- it’s your life!,better research this folks please its your life
@CDCgov Really how does research show that. The covid vaccines barely a year old.,really how does research show that the covid vaccines barely a year old
@CDCgov Very simple question; have ALL the employees and immediate family members of each been vaccinated plus boosted? Including any and all employees with young children and grandchildren. Is the CDC willing to show statistics within your personal organization?,very simple question have all the employees and immediate family members of each been vaccinated plus boosted including any and all employees with young children and grandchildren is the cdc willing to show statistics within your personal organization
"@CDCgov Not a chance, won't be part of the study using human guinea pig's",not a chance wont be part of the study using human guinea pigs
"@CDCgov People keep saying that the CDC gets funding from big pharma.  Even if they do, I trust them to follow the science!",people keep saying that the cdc gets funding from big pharma even if they do i trust them to follow the science
@CDCgov Stop the agenda..leave our kids alone...this charade is done,stop the agendaleave our kids alonethis charade is done
"@CDCgov B.S. Cite the study so we can 'settle the science'... Real data, science, shows death spikes amoung the vaccinated at this age.",bs cite the study so we can settle the science real data science shows death spikes amoung the vaccinated at this age
@CDCgov You have lost all credibility!!!!!!,you have lost all credibility
@CDCgov I will be there in a few minutes if you want to come over and help me with the stuff,i will be there in a few minutes if you want to come over and help me with the stuff
@CDCgov sorry but 1 study isnt good enough. try again @CDCgov https://t.co/Ma7RG1zaQT,sorry but study isnt good enough try again
"@CDCgov I'm sorry.  We find that these ""studies"" are unreliable information.",im sorry we find that these studies are unreliable information
"@CDCgov If anyone continues to take this useless and unnecessary garbage, and particularly the dumb parents give it to their children, then they have an I.Q. the same as their shoe size. This is clearly ALL about making money now. Nothing else.",if anyone continues to take this useless and unnecessary garbage and particularly the dumb parents give it to their children then they have an iq the same as their shoe size this is clearly all about making money now nothing else
@CDCgov Ahhh more fear-mongering to make sure you inject your kids with the clot shot and Pfizer gets to keep their profits,ahhh more fearmongering to make sure you inject your kids with the clot shot and pfizer gets to keep their profits
"@CDCgov It appears study was designed to find what it found. No alt explanations were considered and no other factors explored: ""While hospitalized controls should support equivalent access to care between study arms, they may not represent the general population""",it appears study was designed to find what it found no alt explanations were considered and no other factors explored while hospitalized controls should support equivalent access to care between study arms they may not represent the general population
"@CDCgov 100 % Fake News Horse Shit....

Parents ! Do Not Do This !.......",fake news horse shit parents do not do this
@CDCgov Hell no there is going any covid vaccin in my childeren is that clear you bunch of 🤡🤡🤡,hell no there is going any covid vaccin in my childeren is that clear you bunch of
@CDCgov No approved shot.,no approved shot
"@CDCgov 100% of children who were not vaccinated, didn’t suffer severe side effects of mRNA injections.",of children who were not vaccinated didnt suffer severe side effects of mrna injections
@CDCgov study finds 99% of kids won't develop MIS-C regardless of vax...there fixed it for you,study finds of kids wont develop misc regardless of vaxthere fixed it for you
